Category,Country,Customer ID,Order Date,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Electronics,France,7090,3/24/23,227,Yes,1,Express,10.00%,$870.90 ,$957 ,10,4,$21.40 ,$8K
Electronics,France,2538,3/21/23,391,Yes,2,Express,12.00%,$96.50 ,$107 ,10,2,$16.50 ,$1K
Electronics,France,6301,2/10/23,295,Yes,2,Express,11.00%,$414.40 ,$478 ,9,3,$48.50 ,$3K
Electronics,France,5708,9/18/23,709,Yes,3,Express,24.00%,$799.40 ,$168 ,2,3,$42.10 ,$1K
Electronics,France,7197,12/19/23,592,Yes,3,Express,30.00%,$399.60 ,$354 ,5,3,$17.70 ,$1K
Electronics,France,2642,6/27/23,475,Yes,3,Express,31.00%,$123.30 ,$133 ,6,3,$48.10 ,$1K
Electronics,France,8014,8/13/23,262,Yes,4,Express,9.00%,$544.80 ,$647 ,6,2,$31.30 ,$3K
Electronics,France,2680,5/23/23,374,Yes,5,Express,34.00%,$578.40 ,$502 ,5,1,$12.80 ,$2K
Electronics,France,9492,7/3/23,250,Yes,5,Express,24.00%,$209.50 ,$278 ,7,1,$37.20 ,$1K
Electronics,France,8382,9/2/23,214,Yes,5,Express,37.00%,$280.30 ,$230 ,6,2,$14.30 ,$1K
Electronics,France,5217,8/16/23,782,Yes,5,Express,38.00%,$723.80 ,$506 ,5,3,$32.30 ,$2K
Electronics,France,1874,5/26/23,227,Yes,5,Express,22.00%,$978.10 ,"$1,684 ",10,4,$12.70 ,$8K
Electronics,France,3881,8/22/23,508,Yes,5,Express,21.00%,$948.60 ,"$1,173 ",7,5,$28.80 ,$5K
Electronics,Germany,1939,7/24/23,691,Yes,1,Express,38.00%,$975.40 ,$836 ,7,0,$49.10 ,$4K
Electronics,Germany,4494,8/22/23,193,Yes,1,Express,14.00%,$751.60 ,$842 ,10,0,$28.20 ,$6K
Electronics,Germany,8226,6/8/23,827,Yes,1,Express,26.00%,$70.50 ,$51 ,5,1,$34.00 ,$0K
Electronics,Germany,5641,11/24/23,373,Yes,1,Express,31.00%,$909.20 ,$772 ,5,3,$24.70 ,$3K
Electronics,Germany,9162,3/24/23,58,Yes,1,Express,37.00%,$440.20 ,$372 ,5,4,$2.90 ,$1K
Electronics,Germany,9552,8/1/23,888,Yes,1,Express,11.00%,$306.10 ,$396 ,9,4,$36.70 ,$2K
Electronics,Germany,9561,3/13/23,238,Yes,1,Express,37.00%,$388.70 ,$148 ,6,5,$10.50 ,$1K
Electronics,Germany,4916,4/7/23,910,Yes,2,Express,15.00%,$239.40 ,$119 ,3,0,$22.60 ,$1K
Electronics,Germany,1546,3/16/23,507,Yes,2,Express,11.00%,$457.70 ,$608 ,8,0,$42.00 ,$3K
Electronics,Germany,8975,9/12/23,38,Yes,2,Express,40.00%,$535.80 ,$384 ,5,1,$20.20 ,$2K
Electronics,Germany,1727,2/23/23,711,Yes,2,Express,24.00%,$219.40 ,$382 ,9,1,$35.50 ,$2K
Electronics,Germany,8491,10/20/23,92,Yes,2,Express,23.00%,$773.10 ,$595 ,5,2,$33.80 ,$3K
Electronics,Germany,2396,2/19/23,697,Yes,2,Express,36.00%,$781.60 ,$466 ,4,4,$36.10 ,$2K
Electronics,Germany,6254,11/9/23,812,Yes,2,Express,8.00%,$299.00 ,$273 ,5,5,$39.10 ,$1K
Electronics,Germany,8530,3/25/23,492,Yes,2,Express,11.00%,$370.40 ,$420 ,7,5,$43.90 ,$2K
Electronics,Germany,5983,9/27/23,217,Yes,4,Express,21.00%,$277.80 ,$222 ,5,3,$43.30 ,$1K
Electronics,Germany,5921,9/28/23,8,Yes,5,Express,34.00%,$306.00 ,$65 ,3,1,$12.50 ,$1K
Electronics,Germany,6909,5/3/23,80,Yes,5,Express,6.00%,$973.70 ,"$1,240 ",5,3,$21.80 ,$5K
Electronics,UK,8639,3/11/23,12,Yes,1,Express,33.00%,$355.80 ,$232 ,4,0,$46.70 ,$1K
Electronics,UK,7512,2/25/23,435,Yes,1,Express,30.00%,$319.10 ,$280 ,6,0,$43.20 ,$1K
Electronics,UK,5753,4/27/23,898,Yes,1,Express,27.00%,$833.60 ,$859 ,7,1,$19.40 ,$4K
Electronics,UK,9328,4/19/23,42,Yes,1,Express,33.00%,$721.00 ,$142 ,1,3,$26.90 ,$0K
Electronics,UK,7837,7/2/23,654,Yes,2,Express,19.00%,$315.90 ,$378 ,9,1,$41.60 ,$2K
Electronics,UK,7566,6/5/23,360,Yes,2,Express,9.00%,$514.80 ,$817 ,9,5,$7.30 ,$4K
Electronics,UK,3940,6/1/23,552,Yes,3,Express,23.00%,$75.50 ,$57 ,5,0,$10.20 ,$0K
Electronics,UK,6345,5/11/23,762,Yes,3,Express,25.00%,$836.90 ,$472 ,5,0,$7.60 ,$3K
Electronics,UK,1969,11/24/23,606,Yes,3,Express,39.00%,$772.30 ,$781 ,6,3,$13.10 ,$3K
Electronics,UK,6015,9/16/23,457,Yes,3,Express,30.00%,$471.40 ,$492 ,10,5,$46.30 ,$3K
Electronics,UK,9235,8/1/23,871,Yes,4,Express,21.00%,$319.70 ,$127 ,5,2,$29.70 ,$1K
Electronics,UK,6070,2/24/23,301,Yes,4,Express,34.00%,$706.80 ,$935 ,7,2,$15.10 ,$3K
Electronics,UK,7299,12/7/23,155,Yes,4,Express,10.00%,$146.90 ,$202 ,9,4,$17.80 ,$1K
Electronics,UK,2313,1/8/23,541,Yes,5,Express,32.00%,$807.40 ,"$1,377 ",9,4,$40.00 ,$5K
Electronics,USA,8436,1/26/23,553,Yes,1,Express,29.00%,$832.10 ,$981 ,7,3,$42.50 ,$4K
Electronics,USA,7649,1/4/23,318,Yes,2,Express,11.00%,$270.30 ,$215 ,3,1,$28.80 ,$1K
Electronics,USA,7960,4/19/23,867,Yes,2,Express,34.00%,$883.20 ,$495 ,5,3,$14.20 ,$3K
Electronics,USA,2532,3/13/23,390,Yes,2,Express,18.00%,$548.40 ,$307 ,5,4,$45.80 ,$2K
Electronics,USA,2484,4/10/23,631,Yes,2,Express,16.00%,$720.30 ,"$1,062 ",10,4,$46.00 ,$6K
Electronics,USA,1995,10/8/23,629,Yes,3,Express,13.00%,$980.60 ,$255 ,1,0,$10.90 ,$1K
Electronics,USA,3854,6/15/23,217,Yes,3,Express,30.00%,$640.10 ,$63 ,1,1,$30.40 ,$0K
Electronics,USA,9939,4/23/23,371,Yes,3,Express,39.00%,$277.70 ,$303 ,8,1,$37.90 ,$1K
Electronics,USA,9896,11/24/23,172,Yes,3,Express,7.00%,$143.00 ,$59 ,3,5,$3.30 ,$0K
Electronics,USA,3525,2/17/23,777,Yes,3,Express,23.00%,$287.10 ,$235 ,5,5,$2.30 ,$1K
Electronics,USA,3454,4/22/23,168,Yes,4,Express,30.00%,$160.30 ,$107 ,9,2,$27.10 ,$1K
Electronics,USA,4602,7/4/23,569,Yes,5,Express,26.00%,$339.00 ,$251 ,10,2,$49.50 ,$3K
Electronics,USA,5500,11/22/23,521,Yes,5,Express,26.00%,$847.60 ,"$1,361 ",8,3,$27.70 ,$5K
Electronics,USA,9542,6/6/23,497,Yes,5,Express,7.00%,$905.90 ,$732 ,4,5,$22.40 ,$3K
Home,Canada,4985,2/20/23,419,Yes,1,Express,15.00%,$657.30 ,$610 ,5,0,$45.90 ,$3K
Home,Canada,3010,2/11/23,906,Yes,1,Express,26.00%,$856.20 ,$647 ,6,1,$39.80 ,$4K
Home,Canada,9965,5/17/23,431,Yes,1,Express,24.00%,$484.90 ,$330 ,4,3,$20.20 ,$1K
Home,Canada,9693,7/26/23,750,Yes,1,Express,24.00%,$865.10 ,"$1,243 ",10,3,$7.20 ,$7K
Home,Canada,4764,7/9/23,771,Yes,1,Express,24.00%,$997.40 ,"$1,170 ",9,4,$35.50 ,$7K
Home,Canada,2214,7/26/23,11,Yes,2,Express,13.00%,$807.50 ,"$1,723 ",9,3,$22.20 ,$6K
Home,Canada,9373,12/18/23,608,Yes,2,Express,12.00%,$574.30 ,$798 ,7,5,$27.40 ,$4K
Home,Canada,3849,1/5/23,602,Yes,3,Express,13.00%,$644.30 ,$922 ,8,2,$44.80 ,$4K
Home,Canada,1411,5/18/23,562,Yes,3,Express,22.00%,$21.10 ,$40 ,10,4,$25.60 ,$0K
Home,Canada,4210,7/17/23,469,Yes,4,Express,23.00%,$170.20 ,$107 ,7,0,$49.10 ,$1K
Home,Canada,8757,11/25/23,666,Yes,4,Express,24.00%,$584.20 ,$88 ,1,2,$38.00 ,$0K
Home,Canada,9211,5/15/23,740,Yes,4,Express,26.00%,$690.20 ,"$1,125 ",9,2,$18.50 ,$5K
Home,Canada,2667,12/19/23,556,Yes,5,Express,7.00%,$754.80 ,$590 ,6,0,$14.50 ,$4K
Home,Canada,6836,5/11/23,724,Yes,5,Express,25.00%,$556.00 ,$437 ,4,1,$7.20 ,$2K
Home,Canada,7469,8/5/23,781,Yes,5,Express,14.00%,$468.70 ,$437 ,8,3,$24.90 ,$3K
Home,Canada,7483,6/23/23,356,Yes,5,Express,26.00%,$59.50 ,$45 ,6,5,$24.90 ,$0K
Home,France,9214,3/27/23,268,Yes,1,Express,16.00%,$860.00 ,"$1,904 ",9,2,$11.90 ,$7K
Home,France,1310,6/25/23,864,Yes,2,Express,35.00%,$257.20 ,$123 ,5,0,$15.60 ,$1K
Home,France,5135,6/10/23,199,Yes,2,Express,24.00%,$399.60 ,$570 ,7,4,$35.00 ,$2K
Home,France,2764,10/9/23,669,Yes,2,Express,22.00%,$965.40 ,"$1,683 ",9,5,$38.80 ,$7K
Home,France,9370,1/23/23,31,Yes,3,Express,21.00%,$929.10 ,$306 ,3,2,$20.10 ,$2K
Home,France,7904,12/28/23,94,Yes,4,Express,34.00%,$800.90 ,$140 ,1,3,$7.40 ,$1K
Home,France,5387,7/10/23,857,Yes,5,Express,22.00%,$482.80 ,$263 ,5,1,$42.80 ,$2K
Home,France,2202,5/14/23,696,Yes,5,Express,20.00%,$730.20 ,"$1,246 ",8,1,$42.70 ,$5K
Home,France,7095,4/9/23,329,Yes,5,Express,33.00%,$123.20 ,$120 ,5,4,$20.30 ,$0K
Home,Germany,7525,12/17/23,291,Yes,1,Express,36.00%,$741.10 ,$527 ,7,1,$37.70 ,$3K
Home,Germany,7597,6/22/23,103,Yes,1,Express,27.00%,$330.10 ,$183 ,6,2,$16.40 ,$1K
Home,Germany,7616,11/23/23,846,Yes,1,Express,11.00%,$751.80 ,$108 ,1,4,$43.70 ,$1K
Home,Germany,1761,5/12/23,379,Yes,1,Express,10.00%,$734.90 ,$825 ,9,5,$19.50 ,$6K
Home,Germany,2245,12/12/23,335,Yes,2,Express,34.00%,$178.80 ,$198 ,9,0,$4.40 ,$1K
Home,Germany,6183,1/11/23,356,Yes,2,Express,34.00%,$751.50 ,$959 ,10,0,$11.40 ,$5K
Home,Germany,9688,8/7/23,239,Yes,2,Express,34.00%,$224.30 ,$213 ,7,3,$9.70 ,$1K
Home,Germany,4685,7/4/23,891,Yes,3,Express,27.00%,$545.10 ,$933 ,9,2,$9.20 ,$4K
Home,Germany,1376,3/12/23,851,Yes,3,Express,12.00%,$530.90 ,$308 ,5,5,$19.20 ,$2K
Home,Germany,2864,5/3/23,761,Yes,3,Express,19.00%,$873.70 ,"$1,813 ",10,5,$21.00 ,$7K
Home,Germany,6489,11/4/23,268,Yes,4,Express,30.00%,$166.70 ,$24 ,2,0,$15.40 ,$0K
Home,Germany,5731,10/17/23,471,Yes,5,Express,36.00%,$329.30 ,$248 ,4,0,$37.10 ,$1K
Home,Germany,4205,7/5/23,675,Yes,5,Express,20.00%,$504.40 ,$272 ,6,0,$36.00 ,$2K
Home,Germany,3229,11/10/23,434,Yes,5,Express,22.00%,$172.40 ,$66 ,2,3,$8.10 ,$0K
Home,Germany,5046,5/19/23,950,Yes,5,Express,13.00%,$512.00 ,$363 ,6,4,$16.60 ,$3K
Home,Germany,6525,6/25/23,539,Yes,5,Express,10.00%,$414.70 ,$492 ,7,4,$24.50 ,$3K
Home,UK,7371,1/2/23,585,Yes,1,Express,22.00%,$764.10 ,"$1,276 ",10,1,$39.00 ,$6K
Home,UK,2666,12/4/23,973,Yes,1,Express,13.00%,$388.80 ,$346 ,5,2,$23.00 ,$2K
Home,UK,1174,5/19/23,357,Yes,1,Express,13.00%,$154.20 ,$167 ,6,2,$35.70 ,$1K
Home,UK,9178,1/13/23,701,Yes,2,Express,38.00%,$467.40 ,$385 ,8,0,$42.60 ,$2K
Home,UK,1244,12/2/23,193,Yes,2,Express,32.00%,$80.40 ,$37 ,3,5,$12.90 ,$0K
Home,UK,4648,11/20/23,456,Yes,3,Express,30.00%,$555.30 ,$433 ,6,0,$19.20 ,$2K
Home,UK,6324,9/10/23,930,Yes,3,Express,34.00%,$748.40 ,$880 ,9,4,$25.90 ,$4K
Home,UK,1580,5/21/23,964,Yes,4,Express,38.00%,$62.10 ,$5 ,1,1,$49.30 ,$0K
Home,UK,7419,9/5/23,1000,Yes,4,Express,34.00%,$225.20 ,$62 ,2,1,$11.20 ,$0K
Home,UK,2629,4/20/23,58,Yes,4,Express,40.00%,$193.30 ,$169 ,8,5,$33.70 ,$1K
Home,USA,8726,10/13/23,717,Yes,1,Express,18.00%,$455.70 ,$449 ,5,2,$11.60 ,$2K
Home,USA,2243,5/10/23,811,Yes,1,Express,14.00%,$874.20 ,$352 ,3,3,$39.00 ,$2K
Home,USA,9024,11/6/23,84,Yes,1,Express,10.00%,$582.40 ,$402 ,4,5,$16.50 ,$2K
Home,USA,4099,9/12/23,299,Yes,2,Express,33.00%,$726.10 ,$249 ,3,3,$7.90 ,$1K
Home,USA,5778,6/25/23,926,Yes,2,Express,8.00%,$620.10 ,$581 ,8,4,$33.60 ,$5K
Home,USA,4301,3/9/23,281,Yes,3,Express,15.00%,$386.20 ,$44 ,1,1,$16.70 ,$0K
Home,USA,1539,2/25/23,336,Yes,3,Express,8.00%,$983.30 ,$609 ,3,1,$42.50 ,$3K
Home,USA,2383,2/13/23,12,Yes,3,Express,28.00%,$964.40 ,"$1,093 ",10,1,$49.70 ,$7K
Home,USA,4691,8/6/23,615,Yes,4,Express,20.00%,$982.90 ,$991 ,5,0,$23.00 ,$4K
Home,USA,6484,11/27/23,830,Yes,4,Express,9.00%,$795.40 ,$332 ,4,2,$29.20 ,$3K
Home,USA,8690,7/18/23,437,Yes,4,Express,36.00%,$640.70 ,$796 ,7,4,$30.60 ,$3K
Home,USA,6798,2/15/23,68,Yes,4,Express,8.00%,$329.20 ,$361 ,8,4,$32.50 ,$2K
Home,USA,2345,4/7/23,998,Yes,5,Express,20.00%,$731.90 ,$894 ,10,3,$22.10 ,$6K
Home,USA,6406,6/17/23,402,Yes,5,Express,10.00%,$335.80 ,$150 ,3,5,$42.70 ,$1K
Sports,Canada,2355,10/8/23,747,Yes,1,Express,33.00%,$412.90 ,$599 ,8,0,$7.90 ,$2K
Sports,Canada,2979,6/4/23,10,Yes,1,Express,24.00%,$549.60 ,$884 ,9,0,$39.60 ,$4K
Sports,Canada,8113,6/13/23,59,Yes,1,Express,14.00%,$704.70 ,$350 ,3,2,$17.90 ,$2K
Sports,Canada,3746,3/12/23,937,Yes,1,Express,30.00%,$912.70 ,$338 ,3,3,$19.90 ,$2K
Sports,Canada,2825,10/9/23,652,Yes,1,Express,25.00%,$572.90 ,$649 ,7,3,$43.90 ,$3K
Sports,Canada,7047,4/10/23,733,Yes,1,Express,23.00%,$280.30 ,$421 ,8,3,$41.00 ,$2K
Sports,Canada,7104,2/22/23,640,Yes,1,Express,37.00%,$420.60 ,$325 ,9,4,$37.70 ,$2K
Sports,Canada,4010,9/12/23,227,Yes,2,Express,9.00%,$722.60 ,"$1,834 ",10,1,$38.50 ,$7K
Sports,Canada,6132,10/6/23,972,Yes,2,Express,27.00%,$112.70 ,$49 ,5,2,$22.50 ,$0K
Sports,Canada,7287,12/18/23,3,Yes,2,Express,35.00%,$92.30 ,$40 ,3,3,$23.60 ,$0K
Sports,Canada,1645,3/16/23,250,Yes,2,Express,7.00%,$349.20 ,$50 ,1,5,$47.90 ,$0K
Sports,Canada,9349,3/21/23,370,Yes,3,Express,25.00%,$330.90 ,$111 ,2,0,$44.70 ,$0K
Sports,Canada,7372,9/22/23,327,Yes,3,Express,34.00%,$814.20 ,$554 ,7,0,$6.20 ,$4K
Sports,Canada,1840,6/22/23,308,Yes,3,Express,13.00%,$425.80 ,$437 ,8,2,$46.80 ,$3K
Sports,Canada,6928,3/2/23,166,Yes,3,Express,33.00%,$173.30 ,$278 ,8,2,$7.40 ,$1K
Sports,Canada,1164,3/11/23,138,Yes,3,Express,16.00%,$437.40 ,$678 ,10,4,$29.20 ,$4K
Sports,Canada,1225,5/23/23,932,Yes,4,Express,23.00%,$718.30 ,$517 ,7,0,$2.10 ,$4K
Sports,Canada,6961,1/4/23,249,Yes,4,Express,14.00%,$143.20 ,$116 ,6,2,$6.40 ,$1K
Sports,Canada,1790,5/14/23,501,Yes,4,Express,27.00%,$470.70 ,$394 ,6,5,$22.80 ,$2K
Sports,Canada,4636,3/13/23,495,Yes,5,Express,28.00%,$187.30 ,$177 ,7,0,$47.50 ,$1K
Sports,Canada,6984,3/19/23,379,Yes,5,Express,37.00%,$941.90 ,"$1,086 ",7,4,$4.60 ,$4K
Sports,Canada,8619,7/8/23,417,Yes,5,Express,32.00%,$175.70 ,$129 ,7,5,$5.40 ,$1K
Sports,Canada,8178,5/28/23,91,Yes,5,Express,29.00%,$122.00 ,$246 ,10,5,$20.10 ,$1K
Sports,France,3809,11/7/23,323,Yes,1,Express,36.00%,$551.20 ,$316 ,4,0,$34.60 ,$1K
Sports,France,4192,11/8/23,905,Yes,1,Express,20.00%,$619.60 ,$340 ,4,1,$12.80 ,$2K
Sports,France,3602,3/8/23,503,Yes,1,Express,19.00%,$845.00 ,$370 ,2,2,$29.00 ,$1K
Sports,France,5225,3/14/23,105,Yes,1,Express,10.00%,$614.50 ,$646 ,5,2,$13.40 ,$3K
Sports,France,1262,5/15/23,670,Yes,1,Express,14.00%,$300.80 ,$364 ,8,4,$10.50 ,$2K
Sports,France,5047,1/21/23,824,Yes,1,Express,24.00%,$33.80 ,$41 ,9,4,$48.90 ,$0K
Sports,France,1199,7/26/23,552,Yes,2,Express,35.00%,$792.70 ,$260 ,2,4,$42.40 ,$1K
Sports,France,9401,9/24/23,208,Yes,2,Express,10.00%,$383.90 ,$484 ,10,5,$2.30 ,$3K
Sports,France,1786,2/12/23,71,Yes,3,Express,38.00%,$795.70 ,$653 ,6,0,$38.50 ,$3K
Sports,France,7025,11/2/23,789,Yes,3,Express,27.00%,$903.10 ,$657 ,9,4,$6.90 ,$6K
Sports,France,3533,11/15/23,541,Yes,4,Express,40.00%,$106.10 ,$76 ,4,2,$14.80 ,$0K
Sports,France,7713,12/10/23,47,Yes,4,Express,30.00%,$574.00 ,$247 ,3,5,$33.40 ,$1K
Sports,France,3317,5/24/23,166,Yes,5,Express,28.00%,$605.70 ,$55 ,1,1,$38.00 ,$0K
Sports,France,1911,8/2/23,261,Yes,5,Express,28.00%,$372.10 ,$77 ,2,1,$41.40 ,$1K
Sports,France,3567,1/23/23,526,Yes,5,Express,8.00%,$394.70 ,$560 ,9,2,$29.20 ,$3K
Sports,France,8632,7/19/23,359,Yes,5,Express,14.00%,$982.00 ,"$1,490 ",6,3,$25.10 ,$5K
Sports,France,2073,8/14/23,969,Yes,5,Express,17.00%,$453.40 ,$234 ,3,4,$18.60 ,$1K
Sports,Germany,8144,8/19/23,361,Yes,1,Express,31.00%,$232.30 ,$48 ,3,2,$30.20 ,$0K
Sports,Germany,2473,12/12/23,516,Yes,1,Express,31.00%,$535.10 ,"$1,045 ",10,2,$11.80 ,$4K
Sports,Germany,6913,4/23/23,184,Yes,1,Express,10.00%,$926.30 ,$236 ,1,3,$29.90 ,$1K
Sports,Germany,3247,4/2/23,865,Yes,2,Express,17.00%,$557.10 ,$118 ,2,5,$37.60 ,$1K
Sports,Germany,9689,8/9/23,104,Yes,3,Express,16.00%,$926.30 ,"$1,223 ",7,0,$41.70 ,$5K
Sports,Germany,2976,2/10/23,80,Yes,3,Express,24.00%,$491.80 ,$630 ,10,1,$36.30 ,$4K
Sports,Germany,1365,4/25/23,89,Yes,3,Express,26.00%,$445.30 ,$130 ,2,2,$47.70 ,$1K
Sports,Germany,7194,2/21/23,624,Yes,3,Express,21.00%,$119.10 ,$92 ,7,2,$4.00 ,$1K
Sports,Germany,9579,11/4/23,14,Yes,4,Express,14.00%,$432.60 ,$202 ,5,1,$24.00 ,$2K
Sports,Germany,8009,11/19/23,237,Yes,4,Express,23.00%,$707.90 ,$362 ,5,3,$43.70 ,$3K
Sports,Germany,5470,2/21/23,386,Yes,5,Express,37.00%,$793.40 ,$416 ,3,0,$27.50 ,$1K
Sports,Germany,4762,11/6/23,254,Yes,5,Express,5.00%,$868.70 ,$822 ,8,2,$45.80 ,$7K
Sports,Germany,2084,10/15/23,895,Yes,5,Express,19.00%,$902.60 ,$206 ,1,3,$23.10 ,$1K
Sports,Germany,3555,9/21/23,669,Yes,5,Express,21.00%,$188.50 ,$73 ,3,3,$19.40 ,$0K
Sports,Germany,3338,3/9/23,13,Yes,5,Express,27.00%,$385.40 ,$322 ,9,4,$40.70 ,$3K
Sports,Germany,3237,6/3/23,179,Yes,5,Express,26.00%,$75.80 ,$76 ,10,5,$19.40 ,$1K
Sports,UK,2923,10/3/23,24,Yes,1,Express,25.00%,$529.70 ,$336 ,3,4,$22.80 ,$1K
Sports,UK,5071,9/16/23,940,Yes,2,Express,23.00%,$428.20 ,$579 ,6,0,$46.90 ,$2K
Sports,UK,2708,10/1/23,281,Yes,2,Express,29.00%,$27.80 ,$3 ,1,5,$11.20 ,$0K
Sports,UK,4251,9/10/23,424,Yes,3,Express,37.00%,$778.00 ,"$1,082 ",10,0,$4.70 ,$5K
Sports,UK,7118,7/3/23,526,Yes,3,Express,10.00%,$495.00 ,$664 ,9,1,$31.50 ,$4K
Sports,UK,8186,7/27/23,783,Yes,3,Express,31.00%,$935.80 ,"$1,507 ",10,2,$10.60 ,$6K
Sports,UK,5251,4/27/23,25,Yes,3,Express,10.00%,$131.30 ,$151 ,10,4,$35.60 ,$1K
Sports,UK,1272,9/15/23,968,Yes,4,Express,39.00%,$81.40 ,$6 ,1,0,$6.00 ,$0K
Sports,UK,4944,3/13/23,938,Yes,4,Express,27.00%,$505.90 ,$234 ,3,2,$25.50 ,$1K
Sports,UK,1528,9/26/23,471,Yes,4,Express,30.00%,$473.70 ,$235 ,3,4,$25.50 ,$1K
Sports,UK,6124,2/6/23,3,Yes,4,Express,19.00%,$364.70 ,$707 ,9,4,$14.10 ,$3K
Sports,UK,4770,4/15/23,458,Yes,4,Express,14.00%,$325.20 ,$620 ,8,5,$29.00 ,$2K
Sports,UK,4296,9/4/23,63,Yes,5,Express,30.00%,$739.40 ,$715 ,7,2,$48.90 ,$4K
Sports,USA,3070,11/27/23,651,Yes,1,Express,15.00%,$617.00 ,$148 ,2,4,$30.40 ,$1K
Sports,USA,9533,7/21/23,850,Yes,2,Express,39.00%,$587.70 ,$588 ,6,1,$37.50 ,$2K
Sports,USA,1514,3/26/23,608,Yes,2,Express,6.00%,$796.90 ,$207 ,1,3,$17.40 ,$1K
Sports,USA,6582,6/10/23,876,Yes,3,Express,21.00%,$592.30 ,$264 ,4,1,$21.40 ,$2K
Sports,USA,3674,11/28/23,230,Yes,3,Express,23.00%,$185.20 ,$274 ,8,1,$25.40 ,$1K
Sports,USA,4327,12/22/23,415,Yes,3,Express,36.00%,$404.40 ,$261 ,6,4,$36.40 ,$2K
Sports,USA,6476,1/26/23,244,Yes,4,Express,13.00%,$395.00 ,$62 ,1,1,$6.00 ,$0K
Sports,USA,8081,6/28/23,36,Yes,4,Express,16.00%,$540.40 ,$151 ,2,4,$10.60 ,$1K
Sports,USA,8123,9/15/23,197,Yes,4,Express,21.00%,$440.50 ,$271 ,4,5,$22.00 ,$1K
Sports,USA,2945,6/22/23,864,Yes,5,Express,31.00%,$196.50 ,$54 ,2,0,$20.20 ,$0K
Sports,USA,1237,12/9/23,181,Yes,5,Express,32.00%,$851.30 ,"$1,123 ",7,1,$37.80 ,$4K
Sports,USA,9621,5/28/23,880,Yes,5,Express,15.00%,$511.70 ,"$1,016 ",9,2,$4.60 ,$4K
Sports,USA,2585,8/6/23,532,Yes,5,Express,6.00%,$778.60 ,$156 ,1,4,$43.80 ,$1K
Sports,USA,4820,1/3/23,712,Yes,5,Express,20.00%,$413.60 ,$432 ,10,4,$3.70 ,$3K
Books,Canada,9762,4/6/23,802,Yes,1,Express,38.00%,$858.70 ,$214 ,4,0,$8.30 ,$2K
Books,Canada,1264,1/10/23,112,Yes,1,Express,8.00%,$112.80 ,$155 ,6,0,$37.60 ,$1K
Books,Canada,2546,8/15/23,815,Yes,1,Express,21.00%,$222.20 ,$371 ,8,3,$18.30 ,$1K
Books,Canada,3885,9/26/23,738,Yes,1,Express,26.00%,$644.20 ,$415 ,6,5,$13.00 ,$3K
Books,Canada,3362,5/19/23,357,Yes,2,Express,35.00%,$855.80 ,$169 ,2,0,$45.80 ,$1K
Books,Canada,6983,12/26/23,363,Yes,2,Express,35.00%,$324.40 ,$103 ,3,0,$20.00 ,$1K
Books,Canada,4936,12/1/23,111,Yes,2,Express,35.00%,$358.90 ,$108 ,2,2,$8.60 ,$0K
Books,Canada,2304,8/16/23,439,Yes,2,Express,15.00%,$34.00 ,$28 ,6,3,$3.90 ,$0K
Books,Canada,4728,12/7/23,814,Yes,2,Express,18.00%,$260.00 ,$47 ,1,5,$47.10 ,$0K
Books,Canada,8113,9/9/23,772,Yes,3,Express,25.00%,$419.90 ,$530 ,10,0,$33.70 ,$3K
Books,Canada,5511,4/21/23,787,Yes,3,Express,28.00%,$970.90 ,"$1,968 ",10,4,$42.90 ,$7K
Books,Canada,1847,9/10/23,902,Yes,4,Express,36.00%,$597.10 ,$648 ,6,1,$33.00 ,$2K
Books,Canada,5060,7/19/23,542,Yes,4,Express,5.00%,$593.50 ,$122 ,1,3,$22.90 ,$1K
Books,Canada,6158,1/12/23,662,Yes,5,Express,28.00%,$98.60 ,$113 ,7,0,$37.90 ,$0K
Books,Canada,8609,7/3/23,451,Yes,5,Express,30.00%,$467.10 ,$341 ,5,3,$46.60 ,$2K
Books,Canada,1703,6/8/23,599,Yes,5,Express,20.00%,$255.30 ,$51 ,1,4,$28.90 ,$0K
Books,Canada,5270,9/20/23,828,Yes,5,Express,28.00%,$364.80 ,$91 ,2,4,$45.40 ,$1K
Books,Canada,6431,9/20/23,537,Yes,5,Express,13.00%,$511.30 ,$130 ,1,5,$21.30 ,$0K
Books,France,5086,11/12/23,633,Yes,1,Express,12.00%,$702.00 ,$236 ,3,0,$32.00 ,$2K
Books,France,9195,11/20/23,767,Yes,1,Express,36.00%,$17.20 ,$19 ,6,1,$32.00 ,$0K
Books,France,3418,4/26/23,517,Yes,1,Express,14.00%,$225.30 ,$87 ,4,4,$31.90 ,$1K
Books,France,8113,11/16/23,586,Yes,1,Express,29.00%,$792.70 ,$525 ,6,5,$48.20 ,$3K
Books,France,2869,1/14/23,963,Yes,2,Express,37.00%,$534.40 ,$75 ,2,0,$16.70 ,$1K
Books,France,2318,12/1/23,81,Yes,2,Express,14.00%,$833.80 ,"$1,305 ",8,0,$6.20 ,$6K
Books,France,4570,12/5/23,482,Yes,2,Express,9.00%,$952.90 ,$869 ,7,1,$38.20 ,$6K
Books,France,6986,2/12/23,897,Yes,2,Express,17.00%,$272.20 ,$51 ,1,5,$12.60 ,$0K
Books,France,9365,9/17/23,336,Yes,2,Express,35.00%,$104.30 ,$13 ,1,5,$44.20 ,$0K
